,Date,Location,GPX file,latitude,longitude,cloud_cover_afternoon,humidity_afternoon,precipitation_total,temperature_min,temperature_max,pressure_afternoon,wind_speed_max,wind_direction_max,swim_time,bike_time,run_time,overall_time,time_t1,time_t2,overall_time_female,overall_time_male,swim_time 25%,bike_time 25%,run_time 25%,overall_time 25%,time_t1 25%,time_t2 25%,swim_time 75%,bike_time 75%,run_time 75%,overall_time 75%,time_t1 75%,time_t2 75%,IQR swim_time,IQR bike_time,IQR run_time,IQR overall_time,IQR time_t1,IQR time_t2,finisher_perc,deniv,alt_moy,time_sexe_diff,swim_time_sexe_diff,bike_time_sexe_diff,run_time_sexe_diff,time_sexe_diff_perc,swim_time_sexe_diff_perc,bike_time_sexe_diff_perc,run_time_sexe_diff_perc
0,2023-04-22,"The Woodlands, Texas, USA",ironman-texas-2023.gpx,30.168816,-95.47547,0.0,48.0,0.0,13.41,26.44,1014.0,4.63,110.0,1.417400638943036,6.2285118643108,5.156855388201542,13.091159101782084,0.160172794117647,0.17469977266268819,47983.89495798319,46833.437771345874,1.2152083333333332,5.580902777777778,4.324444444444444,11.518611111111111,0.10409722222222223,0.1151388888888889,1.5765277777777778,6.8585416666666665,6.010416666666666,14.741597222222222,0.200625,0.21847222222222223,0.3613194444444445,1.2776388888888883,1.6859722222222224,3.22298611111111,0.09652777777777777,0.10333333333333333,88.34997622444128,574.0,43.0,0.3195714407325876,0.01601060978070968,0.2658095497497672,0.040145439351927055,2.441124107101293,1.1295754595291339,4.26762532592815,0.7784868166708047
1,2023-05-21,"Tulsa, Okla., USA",ironman-tulsa-2023.gpx,36.13571,-96.27613,0.0,56.0,0.0,11.72,24.85,1022.0,2.12,64.0,1.4107930828861062,6.551783302639655,5.1144151173085435,13.279097498893316,0.15180081787352884,0.12035405071119358,49118.52577319588,47490.0938271605,1.2359722222222222,5.8869444444444445,4.381805555555555,11.985694444444444,0.105,0.0725,1.5394444444444444,7.159027777777778,5.816666666666666,14.646180555555555,0.18805555555555556,0.15097222222222223,0.30347222222222214,1.2720833333333337,1.4348611111111111,2.66048611111111,0.08305555555555556,0.07847222222222223,88.53615520282186,1151.0,219.0,0.45234220723205,0.03418897692335198,0.44612923304981145,0.07277392417235812,3.406422818039768,2.423387053572056,6.809279434960401,1.4229178215524931
2,2023-06-25,"Coeur d’Alene, Idaho, USA",ironman-coeur-dalene-2023.gpx,47.673824,-116.790063,0.0,34.0,0.0,11.42,27.27,1017.0,3.6,190.0,1.3543715559563174,6.780957890348134,5.135673238961915,13.478404745838956,0.13696629495680127,0.13823880989994725,48365.75394321766,48596.19374068554,1.1897222222222221,6.172986111111111,4.418333333333333,12.107916666666666,0.09222222222222222,0.0925,1.4869444444444444,7.407708333333333,5.856944444444444,14.862222222222222,0.17041666666666666,0.16694444444444445,0.2972222222222223,1.2347222222222216,1.4386111111111113,2.754305555555556,0.07819444444444444,0.07444444444444445,85.02581755593803,2296.0,692.0,-0.06401105485218876,-0.011158740239847652,0.12734855113987478,-0.15572938764904393,-0.4749156599704442,-0.823905389239255,1.8780318827984452,-3.0323071660322736
3,2023-07-23,"Lake Placid, N.Y., USA",ironman-lake-placid-2023.gpx,44.284467,-73.982039,0.0,59.0,0.0,8.86,24.57,1019.0,3.83,275.0,1.365537397202713,6.8559176082862585,5.128186611414325,13.584401748346158,0.1768672923058414,0.14558520237174527,49194.58783783784,48796.45091514143,1.2119444444444445,6.2425,4.436944444444444,12.247847222222223,0.1288888888888889,0.09638888888888889,1.4984722222222222,7.507777777777778,5.882777777777778,15.047569444444445,0.21041666666666667,0.18145833333333333,0.2865277777777777,1.2652777777777784,1.4458333333333337,2.799722222222222,0.08152777777777778,0.08506944444444445,85.68453930244664,2136.0,434.0,0.11059358963789136,0.008680888207382192,0.18865878499777056,-0.0630973720556954,0.8141219001518094,0.6357122276669163,2.7517656392158525,-1.2304031977941907
4,2023-08-20,"Mont-Tremblant, Quebec, Canada ",ironman-mont-tremblant-2023.gpx,46.208443,-74.595437,40.0,54.0,0.0,10.95,22.98,1013.0,4.99,243.0,1.3340685633311535,6.716440564137005,5.031132478632478,13.336362311993069,0.17029469548133588,0.135031328320802,49150.60353535353,47566.253201970445,1.1836111111111112,6.129444444444444,4.358888888888889,12.101805555555556,0.12569444444444444,0.09319444444444444,1.456388888888889,7.272222222222222,5.683055555555556,14.650972222222222,0.20625,0.1661111111111111,0.2727777777777778,1.142777777777778,1.3241666666666667,2.5491666666666664,0.08055555555555555,0.07291666666666666,90.68123393316195,2165.0,248.0,0.44009731482863573,0.022306958937157458,0.334438242114224,0.09771455823441708,3.2999801934959945,1.6720998867897197,4.97939703211229,1.942198076663985
5,2023-09-10,"Madison, Wisc., USA",ironman-wisconsin-2023.gpx,43.073405,-89.377531,75.0,61.0,0.0,15.15,26.58,1020.0,5.14,360.0,1.4141648331499816,6.930287593246958,5.233823127104378,13.823669299631385,0.19050914438011216,0.13648506195043963,51687.17872340426,49214.4012195122,1.243611111111111,6.342638888888889,4.588749999999999,12.578194444444444,0.1436111111111111,0.0913888888888889,1.5511805555555556,7.488958333333334,5.920902777777778,15.244861111111112,0.22722222222222221,0.16833333333333333,0.30756944444444456,1.146319444444445,1.3321527777777789,2.666666666666668,0.08361111111111111,0.07694444444444444,84.94363929146537,1390.0,288.0,0.6868826399700164,0.04927595802546041,0.5115792441421015,0.17987943838310558,4.968887963692335,3.4844564700212963,7.381789532668123,3.4368650604863715
6,2023-09-24,"Chattanooga, Tenn., USA",ironman-chattanooga-2023.gpx,35.063108,-85.277487,20.0,51.0,0.0,12.96,28.87,1015.0,3.58,80.0,0.8127777777777776,6.7345067596113175,5.4826037999819475,13.267097708955898,0.15834598742754513,0.1586305107870725,49853.58928571428,47142.997888067584,0.7494444444444445,6.1225000000000005,4.787222222222222,12.0175,0.11694444444444445,0.105,0.8688888888888889,7.315416666666667,6.212916666666667,14.608333333333334,0.19027777777777777,0.1926388888888889,0.11944444444444446,1.1929166666666662,1.4256944444444448,2.590833333333334,0.07333333333333332,0.08763888888888889,88.91304347826086,1305.0,237.0,0.7529420549018606,0.033007722528790785,0.5508961868374314,0.1739455126600246,5.675258232202437,4.061100516187521,8.180200963510895,3.172680700739261
7,2023-10-22,"Sacramento, Calif., USA",ironman-california-2023.gpx,38.601532,-121.485818,100.0,74.0,4.42,13.91,20.47,1011.0,5.14,150.0,0.8483840557821075,6.2645467368100025,5.234790281734726,12.719788630122519,0.2284333131862597,0.1870948328733517,49346.35810810811,44840.351807228915,0.7761111111111111,5.672083333333333,4.369652777777778,11.2875,0.1703472222222222,0.12895833333333334,0.9055555555555556,6.771319444444444,6.037083333333333,14.165486111111111,0.27416666666666667,0.23243055555555556,0.12944444444444447,1.0992361111111109,1.6674305555555557,2.8779861111111114,0.10381944444444446,0.10347222222222222,92.93286219081273,437.0,6.0,1.2516684169108865,0.04744201252514396,0.6592485563938933,0.5507141165559096,9.84032402823686,5.592044334379689,10.523483726607045,10.52027085932107
8,2023-11-04,"Panama City Beach, Fla., USA",ironman-florida-2022.gpx,30.214689,-85.877124,0.0,43.0,0.0,11.81,26.26,1023.0,5.1,64.0,1.4007548901508642,6.162430445033895,5.083892287727103,12.926944599281555,0.19833767135172656,0.13418496870941082,48252.27358490566,46167.449864498645,1.2158333333333333,5.448055555555555,4.263263888888889,11.429652777777779,0.14055555555555554,0.08527777777777777,1.5402777777777779,6.850555555555555,5.903194444444445,14.580486111111112,0.24472222222222223,0.1713888888888889,0.32444444444444454,1.4024999999999999,1.639930555555556,3.150833333333333,0.10416666666666669,0.08611111111111112,89.7448724362181,315.0,16.0,0.5791177001130604,0.07031231645007008,0.45713381485826377,0.11874592049127992,4.4799271449283244,5.019601712223706,7.418076665297753,2.335728488542951
9,2023-11-19,"Tempe, Ariz., USA",ironman-arizona-2022.gpx,33.43225,-111.9471,20.0,56.0,0.0,13.81,21.84,1013.0,9.77,270.0,1.4327507318314883,6.295629143463268,5.079929029783078,13.041940608216501,0.17728712208189826,0.11453390966358394,49259.92182410423,46399.78615863142,1.2444444444444445,5.700208333333333,4.319444444444445,11.671944444444444,0.1213888888888889,0.07166666666666667,1.5995833333333334,6.871875,5.8052777777777775,14.510277777777778,0.21555555555555556,0.14333333333333334,0.3551388888888889,1.1716666666666669,1.485833333333333,2.8383333333333347,0.09416666666666666,0.07166666666666667,88.94472361809045,771.0,367.0,0.7944821292980042,0.05280698424704724,0.4786282899980698,0.27507314566682906,6.091747794016756,3.6857063181914387,7.6025489921849685,5.414901351064253
